dt,AverageTemperature,Country
1825-01-01,19.539,Vietnam
1825-02-01,19.797,Vietnam
1825-03-01,22.176,Vietnam
1825-04-01,25.197,Vietnam
1825-05-01,26.235,Vietnam
1825-06-01,27.582,Vietnam
1825-07-01,27.047,Vietnam
1825-08-01,26.086,Vietnam
1825-09-01,24.889,Vietnam
1825-10-01,23.009,Vietnam
1825-11-01,22.261000000000006,Vietnam
1825-12-01,19.511000000000006,Vietnam
1826-01-01,,Vietnam
1826-02-01,,Vietnam
1826-03-01,,Vietnam
1826-04-01,,Vietnam
1826-05-01,,Vietnam
1826-06-01,,Vietnam
1826-07-01,,Vietnam
1826-08-01,,Vietnam
1826-09-01,,Vietnam
1826-10-01,,Vietnam
1826-11-01,,Vietnam
1826-12-01,,Vietnam
1827-01-01,,Vietnam
1827-02-01,,Vietnam
1827-03-01,,Vietnam
1827-04-01,,Vietnam
1827-05-01,,Vietnam
1827-06-01,,Vietnam
1827-07-01,,Vietnam
1827-08-01,,Vietnam
1827-09-01,,Vietnam
1827-10-01,,Vietnam
1827-11-01,,Vietnam
1827-12-01,,Vietnam
1828-01-01,,Vietnam
1828-02-01,,Vietnam
1828-03-01,,Vietnam
1828-04-01,,Vietnam
1828-05-01,,Vietnam
1828-06-01,,Vietnam
1828-07-01,,Vietnam
1828-08-01,,Vietnam
1828-09-01,,Vietnam
1828-10-01,,Vietnam
1828-11-01,,Vietnam
1828-12-01,,Vietnam
1829-01-01,,Vietnam
1829-02-01,,Vietnam
1829-03-01,,Vietnam
1829-04-01,,Vietnam
1829-05-01,,Vietnam
1829-06-01,,Vietnam
1829-07-01,,Vietnam
1829-08-01,,Vietnam
1829-09-01,,Vietnam
1829-10-01,,Vietnam
1829-11-01,,Vietnam
1829-12-01,,Vietnam
1830-01-01,,Vietnam
1830-02-01,,Vietnam
1830-03-01,,Vietnam
1830-04-01,,Vietnam
1830-05-01,,Vietnam
1830-06-01,,Vietnam
1830-07-01,,Vietnam
1830-08-01,,Vietnam
1830-09-01,,Vietnam
1830-10-01,,Vietnam
1830-11-01,,Vietnam
1830-12-01,,Vietnam
1831-01-01,,Vietnam
1831-02-01,,Vietnam
1831-03-01,,Vietnam
1831-04-01,,Vietnam
1831-05-01,,Vietnam
1831-06-01,,Vietnam
1831-07-01,,Vietnam
1831-08-01,,Vietnam
1831-09-01,,Vietnam
1831-10-01,,Vietnam
1831-11-01,,Vietnam
1831-12-01,,Vietnam
1832-01-01,,Vietnam
1832-02-01,,Vietnam
1832-03-01,,Vietnam
1832-04-01,,Vietnam
1832-05-01,,Vietnam
1832-06-01,,Vietnam
1832-07-01,,Vietnam
1832-08-01,,Vietnam
1832-09-01,,Vietnam
1832-10-01,,Vietnam
1832-11-01,,Vietnam
1832-12-01,,Vietnam
1833-01-01,,Vietnam
